,0
10,(DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & V1[i]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & ~DL[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & ~DL[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i] & ~DL[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & V1[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~DL[i-1] & ~DL[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i] & ~DL[i-1] & ~DL[i]) | (DL[i+1] & V0[i] & V1[i] & ~DL[i-1] & ~V0[i+1]) | (DL[i+1] & V0[i] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & V1[i+1] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i-1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V1[i+1] & V1[i] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i-1])
11,(V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i]) | (DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~V0[i+1]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~V1[i+1]) | (~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V1[i+1] & ~DL[i+1] & ~V0[i] & ~V1[i]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1]) | (V0[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i] & ~V1[i]) | (DL[i+1] & V0[i] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i]) | (DL[i+1] & V1[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i-1] & ~DL[i] & ~V0[i+1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (DL[i+1] & V0[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & V1[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1])
12,(DL[i+1] & V0[i-1] & ~V0[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1]) | (DL[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i+1]) | (DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V0[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i])
13,(DL[i] & V0[i] & V1[i-1] & ~V0[i-1]) | (DL[i] & V1[i-1] & ~DL[i+1] & ~V0[i-1]) | (DL[i] & V1[i-1] & ~V0[i-1] & ~V1[i]) | (V0[i] & V1[i-1] & ~DL[i+1] & ~V0[i-1]) | (DL[i-1] & DL[i] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i] & ~DL[i+1] & ~V1[i]) | (DL[i] & V0[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i+1]) | (DL[i] & V0[i-1] & V0[i] & ~DL[i+1] & ~V1[i-1]) | (DL[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1]) | (DL[i] & V0[i+1] & ~DL[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i-1] & ~DL[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i] & V0[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i]) | (DL[i] & V0[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & V0[i+1] & V0[i] & V1[i-1] & ~V0[i-1] & ~V1[i+1]) | (DL[i-1] & V0[i] & V1[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i]) | (DL[i-1] & V0[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i-1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i+1] & V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i-1] & V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i-1] & V0[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i-1] & V0[i] & V1[i+1] & ~V0[i+1] & ~V1[i-1] & ~V1[i])
14,(DL[i] & ~V0[i]) | (DL[i] & ~V1[i]) | (DL[i+1] & V0[i-1] & V1[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i-1] & ~V0[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i] & ~V0[i+1] & ~V1[i]) | (V0[i-1] & V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i-1] & V1[i+1] & ~V0[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1])
15,(V0[i] & V1[i]) | (~V0[i] & ~V1[i])
16,(DL[i+1] & DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & ~V1[i-1]) | (DL[i+1] & DL[i-1] & V0[i+1] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i+1] & V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (DL[i-1] & V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V0[i+1] & V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V0[i-1] & ~DL[i+1] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1]) | (V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1]) | (V1[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V0[i+1] & V0[i-1] & V1[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & DL[i-1] & V0[i+1] & V1[i+1] & ~DL[i] & ~V0[i] & ~V1[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & ~DL[i] & ~V0[i] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & ~DL[i] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V1[i+1] & ~V1[i]) | (V0[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & V0[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & ~DL[i] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1] & ~V1[i])
17,(DL[i] & V0[i] & ~V1[i]) | (DL[i] & V0[i-1] & V1[i] & ~V0[i] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & V0[i] & V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & V0[i] & ~DL[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i+1] & V0[i-1] & ~DL[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V0[i] & ~DL[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i] & V0[i+1] & V1[i] & ~DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i-1])
18,(DL[i] & ~V1[i]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1]) | (V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1]) | (V0[i+1] & V0[i-1] & V1[i-1] & V1[i] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i-1] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i+1]) | (V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i]) | (V0[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i])
19,(DL[i] & V0[i-1] & V1[i-1]) | (DL[i] & V1[i] & ~V0[i]) | (DL[i] & V1[i] & ~V1[i-1]) | (DL[i] & ~DL[i+1] & ~V1[i-1]) | (DL[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i] & ~V0[i] & ~V1[i-1]) | (V0[i-1] & V1[i-1] & V1[i] & ~DL[i+1]) | (DL[i] & V1[i+1] & ~DL[i+1] & ~V0[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i]) | (V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~V1[i+1]) | (V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1]) | (V0[i-1] & V1[i-1] & V1[i] & ~V0[i] & ~V1[i+1]) | (~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1]) | (V0[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & ~DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (V1[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i+1] & ~V1[i-1]) | (V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (DL[i] & V0[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i+1]) | (~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (DL[i] & V0[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i] & ~V1[i+1])
